A C T U A L   W E L L P A T H   R E P O R T  (CSV version)															
Prepared by Baker Hughes															
Software System: WellArchitect® 5.0															
															
REFERENCE WELLPATH IDENTIFICATION															
Operator	ECW														
Area	THE NETHERLANDS														
Field	Andjik														
Facility	Andjik														
Slot	1														
Well	ADK-GT-01														
Wellbore	ADK-GT-01-S1 (AWB)														
Wellpath	ADK-GT-01-S1_AWP														
Sidetrack	ADK-GT-01 (AWP) at 1958.89 MD														
															
REPORT SETUP INFORMATION															
Projection System	Amersfoort /  Rijksriehoeksmeting														
North Reference	TRUE														
Scale	0.999934														
Convergence at slot	0.16° West														
Software System	WellArchitect® 5.0														
User	Dicfra														
Report Generated	29/Jan/2018 at 16:35 														
DataBase/Source file	WellArchitectDB/ev290.xml														
															
WELLPATH LOCATION	Local North	Local East	Easting	Northing	Latitude	Longitude									
 	[m]	[m]	[m]	[m]	 	 									
Slot Location	0	0	141923.43	526448.44	"52°43'34.708""N"	"5°11'38.580""E"									
Facility Reference Pt	 	 	141923.43	526448.44	"52°43'34.708""N"	"5°11'38.580""E"									
Field Reference Pt	 	 	141923.43	526448.44	"52°43'34.708""N"	"5°11'38.580""E"									
															
WELLPATH DATUM															
Calculation method	Minimum curvature														
Horizontal Reference Point	Facility Center														
Vertical Reference Point	RTE (9m AGL) (RT)														
MD Reference Point	RTE (9m AGL) (RT)														
Field Vertical Reference	NAP / MSL														
RTE (9m AGL) (RT) to Local Ground level	9.00m														
RTE (9m AGL) (RT) to NAP / MSL	6.73m														
RTE (9m AGL) (RT) to Ground Level at Slot (01)	9.00m														
Section Origin	"N 0.00, E 0.00 m"														
Section Azimuth	278.06°														
															
															
W E L L P A T H   D A T A    † = interpolated/extrapolated station															
 	MD	Inclination	Azimuth	TVD	TVDSS	Vert Sect	North	East	Grid East	Grid North	Latitude	Longitude	Polar Rad	Polar Brng	DLS
 	[m]	[°]	[°]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	 	 	[m]	[°]	[°/30m]
†	0	0	280.9	0	-6.73	0	0	0	141923.43	526448.44	"52°43'34.708""N"	"5°11'38.580""E"	0	0	0
 	9	0	280.9	9	2.27	0	0	0	141923.43	526448.44	"52°43'34.708""N"	"5°11'38.580""E"	0	0	0
 	32.32	0.82	280.9	32.32	25.59	0.17	0.03	-0.16	141923.27	526448.47	"52°43'34.709""N"	"5°11'38.571""E"	0.17	280.9	1.05
 	50.32	1.24	280.98	50.32	43.59	0.49	0.09	-0.48	141922.95	526448.53	"52°43'34.711""N"	"5°11'38.554""E"	0.32	280.948	0.7
 	68.32	1.71	281.95	68.31	61.58	0.95	0.19	-0.94	141922.5	526448.63	"52°43'34.714""N"	"5°11'38.530""E"	0.46	281.542	0.78
 	86.29	2.07	284.23	86.27	79.54	1.54	0.32	-1.51	141921.92	526448.77	"52°43'34.718""N"	"5°11'38.499""E"	0.59	283.199	0.61
 	104.6	2.12	287.51	104.57	97.84	2.21	0.5	-2.16	141921.28	526448.95	"52°43'34.724""N"	"5°11'38.465""E"	0.67	285.89	0.21
 	122.9	1.77	295.32	122.86	116.13	2.81	0.73	-2.73	141920.7	526449.17	"52°43'34.731""N"	"5°11'38.434""E"	0.62	291.063	0.72
 	142.53	1.54	299.76	142.48	135.75	3.34	0.99	-3.24	141920.2	526449.44	"52°43'34.740""N"	"5°11'38.407""E"	0.57	297.386	0.4
 	161.11	1.36	303.58	161.05	154.32	3.77	1.23	-3.64	141919.8	526449.68	"52°43'34.748""N"	"5°11'38.386""E"	0.47	301.551	0.33
 	179.79	1.14	306.34	179.73	173	4.14	1.47	-3.97	141919.46	526449.92	"52°43'34.755""N"	"5°11'38.368""E"	0.41	304.839	0.37
 	198.27	0.95	309.44	198.21	191.48	4.43	1.67	-4.24	141919.2	526450.12	"52°43'34.762""N"	"5°11'38.354""E"	0.34	307.749	0.32
 	217.71	0.89	312.22	217.64	210.91	4.69	1.88	-4.47	141918.96	526450.33	"52°43'34.768""N"	"5°11'38.341""E"	0.31	310.785	0.12
 	236.49	0.67	308.32	236.42	229.69	4.91	2.04	-4.67	141918.77	526450.49	"52°43'34.774""N"	"5°11'38.331""E"	0.26	310.545	0.36
 	255.27	0.72	318.92	255.2	248.47	5.09	2.2	-4.83	141918.6	526450.65	"52°43'34.779""N"	"5°11'38.322""E"	0.23	313.811	0.22
 	274.01	0.69	308.68	273.94	267.21	5.28	2.36	-5	141918.44	526450.81	"52°43'34.784""N"	"5°11'38.313""E"	0.23	313.909	0.21
 	292.79	1	307.55	292.72	285.99	5.52	2.53	-5.22	141918.22	526450.98	"52°43'34.789""N"	"5°11'38.302""E"	0.28	308.011	0.5
 	311.6	1.02	307.05	311.52	304.79	5.81	2.73	-5.48	141917.96	526451.18	"52°43'34.796""N"	"5°11'38.288""E"	0.33	307.298	0.03
 	330.35	1.41	296.63	330.27	323.54	6.17	2.93	-5.82	141917.62	526451.39	"52°43'34.803""N"	"5°11'38.270""E"	0.4	301.002	0.71
 	349.11	1.54	293.24	349.02	342.29	6.64	3.14	-6.26	141917.18	526451.59	"52°43'34.809""N"	"5°11'38.246""E"	0.48	294.86	0.25
 	367.84	1.98	285.77	367.74	361.01	7.2	3.32	-6.8	141916.64	526451.78	"52°43'34.815""N"	"5°11'38.217""E"	0.57	289.038	0.79
 	386.58	2.26	288.01	386.47	379.74	7.88	3.53	-7.46	141915.98	526451.99	"52°43'34.822""N"	"5°11'38.182""E"	0.69	286.964	0.47
 	405.32	2.82	287.08	405.19	398.46	8.7	3.78	-8.25	141915.19	526452.24	"52°43'34.830""N"	"5°11'38.140""E"	0.83	287.494	0.9
 	424.06	3.5	285.62	423.9	417.17	9.73	4.07	-9.25	141914.2	526452.53	"52°43'34.839""N"	"5°11'38.087""E"	1.03	286.272	1.1
 	442.86	3.86	284.67	442.67	435.94	10.92	4.38	-10.41	141913.03	526452.85	"52°43'34.849""N"	"5°11'38.025""E"	1.21	285.122	0.58
 	461.62	4.98	282.79	461.37	454.64	12.36	4.72	-11.82	141911.63	526453.19	"52°43'34.860""N"	"5°11'37.950""E"	1.45	283.611	1.81
 	481.38	6.28	278.49	481.03	474.3	14.3	5.07	-13.72	141909.72	526453.55	"52°43'34.872""N"	"5°11'37.849""E"	1.94	280.392	2.07
 	528.01	7.97	276.85	527.3	520.57	20.08	5.83	-19.45	141903.99	526454.32	"52°43'34.896""N"	"5°11'37.543""E"	5.78	277.573	1.1
 	541.87	8.98	277.38	541.01	534.28	22.12	6.09	-21.48	141901.97	526454.58	"52°43'34.905""N"	"5°11'37.435""E"	2.04	277.131	2.19
 	560.51	10	277.52	559.4	552.67	25.2	6.48	-24.53	141898.92	526454.99	"52°43'34.917""N"	"5°11'37.273""E"	3.07	277.454	1.64
 	579.35	10.62	277.57	577.93	571.2	28.57	6.93	-27.87	141895.58	526455.44	"52°43'34.932""N"	"5°11'37.095""E"	3.37	277.546	0.99
 	597.96	11.4	277.82	596.2	589.47	32.12	7.4	-31.39	141892.06	526455.93	"52°43'34.947""N"	"5°11'36.907""E"	3.55	277.699	1.26
 	616.8	12.47	278.19	614.63	607.9	36.02	7.95	-35.25	141888.2	526456.48	"52°43'34.965""N"	"5°11'36.701""E"	3.9	278.013	1.71
 	635.97	13.08	276.66	633.33	626.6	40.26	8.49	-39.45	141884		526457.04	"52°43'34.982""N"	"5°11'36.477""E"	4.24	277.407	1.09
 	654.16	13.16	276.04	651.04	644.31	44.38	8.95	-43.56	141879.9	526457.51	"52°43'34.997""N"	"5°11'36.259""E"	4.13	276.349	0.27
 	673.11	12.81	275.82	669.51	662.78	48.64	9.39	-47.79	141875.67	526457.96	"52°43'35.011""N"	"5°11'36.033""E"	4.26	275.931	0.56
 	691.7	13.14	275.87	687.62	680.89	52.81	9.81	-51.95	141871.51	526458.39	"52°43'35.025""N"	"5°11'35.812""E"	4.17	275.845	0.53
 	710.5	13.03	276.15	705.93	699.2	57.06	10.26	-56.18	141867.28	526458.85	"52°43'35.040""N"	"5°11'35.586""E"	4.26	276.009	0.2
 	729.31	12.84	275.93	724.27	717.54	61.27	10.7	-60.37	141863.1	526459.3	"52°43'35.054""N"	"5°11'35.363""E"	4.21	276.041	0.31
 	747.84	13.13	275.25	742.32	735.59	65.43	11.11	-64.51	141858.96	526459.72	"52°43'35.067""N"	"5°11'35.142""E"	4.16	275.586	0.53
 	766.32	13.33	276.55	760.31	753.58	69.66	11.54	-68.72	141854.75	526460.17	"52°43'35.081""N"	"5°11'34.918""E"	4.23	275.905	0.58
 	785	13.07	276.9	778.5	771.77	73.92	12.04	-72.95	141850.52	526460.68	"52°43'35.097""N"	"5°11'34.692""E"	4.27	276.723	0.44
 	803.61	12.95	279.2	796.63	789.9	78.11	12.63	-77.1	141846.37	526461.27	"52°43'35.116""N"	"5°11'34.471""E"	4.19	278.045	0.86
 	822.28	13.06	280.02	814.82	808.09	82.31	13.33	-81.24	141842.23	526461.99	"52°43'35.139""N"	"5°11'34.250""E"	4.2	279.612	0.35
 	840.89	13.12	279.53	832.95	826.22	86.52	14.05	-85.4	141838.08	526462.71	"52°43'35.162""N"	"5°11'34.029""E"	4.21	279.774	0.2
 	859.7	13.13	278.87	851.27	844.54	90.79	14.73	-89.61	141833.86	526463.41	"52°43'35.184""N"	"5°11'33.804""E"	4.27	279.2	0.24
 	879.22	13.27	278.17	870.27	863.54	95.25	15.39	-94.02	141829.46	526464.08	"52°43'35.206""N"	"5°11'33.569""E"	4.46	278.518	0.33
 	897.92	12.99	278.02	888.48	881.75	99.5	15.99	-98.23	141825.25	526464.69	"52°43'35.225""N"	"5°11'33.345""E"	4.25	278.096	0.45
 	916.92	12.98	278.08	907	900.27	103.77	16.59	-102.45	141821.03	526465.3	"52°43'35.244""N"	"5°11'33.120""E"	4.27	278.05	0.03
 	935.29	13.09	277.75	924.89	918.16	107.91	17.16	-106.56	141816.93	526465.88	"52°43'35.263""N"	"5°11'32.901""E"	4.14	277.914	0.22
 	953.96	13.86	277.88	943.05	936.32	112.26	17.75	-110.87	141812.62	526466.48	"52°43'35.282""N"	"5°11'32.672""E"	4.35	277.817	1.24
 	973	15.03	278.33	961.49	954.76	117.01	18.42	-115.57	141807.92	526467.17	"52°43'35.303""N"	"5°11'32.421""E"	4.75	278.114	1.85
 	991.46	16.4	278.54	979.26	972.53	122.01	19.15	-120.51	141802.98	526467.91	"52°43'35.327""N"	"5°11'32.157""E"	5	278.439	2.23
 	1010.23	17.79	279.05	997.2	990.47	127.53	20	-125.97	141797.53	526468.77	"52°43'35.355""N"	"5°11'31.867""E"	5.52	278.805	2.23
 	1028.78	18.73	278.92	1014.81	1008.08	133.34	20.9	-131.71	141791.79	526469.7	"52°43'35.384""N"	"5°11'31.561""E"	5.81	278.983	1.52
 	1047.57	19.88	278.18	1032.55	1025.82	139.55	21.83	-137.85	141785.65	526470.63	"52°43'35.414""N"	"5°11'31.234""E"	6.21	278.539	1.88
 	1066.26	21.27	277.36	1050.04	1043.31	146.12	22.71	-144.36	141779.14	526471.54	"52°43'35.442""N"	"5°11'30.887""E"	6.57	277.757	2.28
 	1084.95	22.62	277.13	1067.38	1060.65	153.1	23.59	-151.29	141772.22	526472.44	"52°43'35.471""N"	"5°11'30.517""E"	6.98	277.242	2.17
 	1094.81	23	277.1	1076.47	1069.74	156.92	24.07	-155.08	141768.43	526472.92	"52°43'35.486""N"	"5°11'30.315""E"	3.82	277.115	1.16
 	1113.27	24.19	277.36	1093.38	1086.65	164.31	25	-162.41	141761.1	526473.87	"52°43'35.516""N"	"5°11'29.925""E"	7.39	277.233	1.94
 	1131.89	25.05	277.41	1110.31	1103.58	172.07	25.99	-170.1	141753.41	526474.89	"52°43'35.549""N"	"5°11'29.515""E"	7.76	277.385	1.39
 	1141.27	25.41	277.79	1118.8	1112.07	176.06	26.52	-174.07	141749.45	526475.43	"52°43'35.566""N"	"5°11'29.304""E"	4	277.601	1.26
 	1160.49	26.37	277.91	1136.09	1129.36	184.46	27.67	-182.38	141741.14	526476.6	"52°43'35.603""N"	"5°11'28.860""E"	8.39	277.851	1.5
 	1178.95	27.64	278.01	1152.53	1145.8	192.84	28.83	-190.68	141732.84	526477.78	"52°43'35.640""N"	"5°11'28.418""E"	8.38	277.961	2.07
 	1197.78	29.11	278.01	1169.1	1162.37	201.79	30.08	-199.54	141723.98	526479.05	"52°43'35.681""N"	"5°11'27.946""E"	8.95	278.01	2.34
 	1216.09	30.78	277.95	1184.97	1178.24	210.93	31.35	-208.59	141714.94	526480.34	"52°43'35.722""N"	"5°11'27.464""E"	9.14	277.979	2.74
 	1234.56	31.97	277.64	1200.74	1194.01	220.54	32.65	-218.12	141705.41	526481.67	"52°43'35.764""N"	"5°11'26.956""E"	9.62	277.792	1.95
 	1253.08	33.27	277.71	1216.33	1209.6	230.53	33.98	-228.01	141695.52	526483.03	"52°43'35.807""N"	"5°11'26.429""E"	9.98	277.676	2.11
